Participant,Age,Sex,Handedness,Condition,Cue,SOA,Resp,RT,Q1.Awareness,Q2.PAS,Q3.Surprise,MergedConds,MainConds,outlier
1,22,female,right,26,Left,-83,2,1655,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Vert,Vert1st,NO
1,22,female,right,20,Right,150,2,600,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA150_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,27,Left,-17,2,538,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA17_Incongr_1Vert,Vert1st,NO
1,22,female,right,27,Left,-17,2,541,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA17_Incongr_1Vert,Vert1st,NO
1,22,female,right,21,Right,83,2,845,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,13,No,-17,8,1780,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA17_NoCue_1Vert,NoCue,NO
1,22,female,right,24,Left,-217,8,622,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA217_Incongr_1Vert,Vert1st,NO
1,22,female,right,34,Left,217,8,1942,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA217_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,29,Right,-217,8,505,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA217_Incongr_1Vert,Vert1st,NO
1,22,female,right,37,Left,17,8,542,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA17_Incongr_1Horiz,Horiz1st,NO
